"RMSE","Category","Rank"
0.357933333333333,"KRR_new",1
0.383133333333333,"ScLinear",2
0.3854,NA,3
0.3898,NA,4
0.3954,NA,5
0.3979,NA,6
0.3982,NA,7
0.4058,"Vanilla_NN",8
0.4065,NA,9
0.4127,NA,10
0.4133,NA,11
0.4139,NA,12
0.4147,NA,13
0.4152,NA,14
0.4153,NA,15
0.415766666666667,"Babel_Dance",16
0.4175,NA,17
0.4189,NA,18
0.4242,NA,19
0.4245,NA,20
0.4255,NA,21
0.4275,NA,22
0.4282,NA,23
0.4297,NA,24
0.4315,NA,25
0.4323,NA,26
0.4332,NA,27
0.4335,NA,28
0.4345,NA,29
0.4348,NA,30
0.436,NA,31
0.436,NA,32
0.4371,NA,33
0.438,NA,34
0.4382,NA,35
0.4385,NA,36
0.4385,NA,37
0.4394,NA,38
0.44,NA,39
0.4447,NA,40
0.449,NA,41
0.4511,NA,42
0.4537,NA,43
0.5086,NA,44
0.5143,NA,45
